FIPS,State,County,% Insufficient Sleep,% Uninsured,Median Household Income,Population,% 65 and over,% less than 18 years of age,% Black,% Asian,% Hispanic,% Non-Hispanic White,% Female,% Some College,High School Graduation Rate,% With Access to Exercise Opportunities,Food Environment Index,% Adults with Obesity,% Smokers
29183,Missouri,St. Charles,32,7,82048,399182,15.2,23.2,5.0,2.7,3.4,86.9,50.8,78,92,91,8.5,30,16
29185,Missouri,St. Clair,32,19,37013,9395,27.0,20.0,0.6,0.3,2.2,94.4,49.7,48,94,29,7.4,37,21
29186,Missouri,Ste. Genevieve,32,13,59043,17888,19.5,21.7,0.8,0.3,1.2,95.5,49.3,63,85,33,7.6,35,19
29187,Missouri,St. Francois,36,14,45584,66692,16.4,21.1,4.5,0.4,1.6,91.7,46.6,52,94,63,7.6,39,22
29189,Missouri,St. Louis,32,10,66992,996945,18.1,22.0,24.7,4.5,3.0,65.6,52.6,78,91,94,7.6,28,16
29195,Missouri,Saline,34,15,43776,22895,18.3,22.4,5.1,0.9,10.4,80.0,50.1,52,89,56,7.2,36,20
29197,Missouri,Schuyler,33,17,39463,4599,19.8,25.1,0.1,0.3,1.5,96.7,50.3,49,90,43,4.6,31,21
29199,Missouri,Scotland,32,26,42053,4966,18.1,29.5,0.1,0.2,1.0,97.2,50.5,42,97,5,7.8,32,21
29201,Missouri,Scott,33,15,44261,38458,18.0,24.1,11.9,0.4,2.5,83.1,51.4,54,92,66,6.6,36,22
29203,Missouri,Shannon,34,20,32715,8189,22.1,21.5,0.4,0.3,2.1,93.6,50.0,45,92,73,6.6,35,24
29205,Missouri,Shelby,32,16,44564,6050,21.3,24.1,0.9,0.2,2.2,94.8,50.2,61,93,43,6.5,29,19
29207,Missouri,Stoddard,34,15,40808,29206,20.0,21.7,1.2,0.3,1.8,95.3,50.6,54,94,64,7.8,36,21
29209,Missouri,Stone,32,17,46026,31749,31.0,16.4,0.4,0.4,2.4,94.7,51.0,54,94,67,8.3,31,19
29211,Missouri,Sullivan,34,18,41978,6221,20.2,22.4,3.3,0.5,18.0,76.9,48.6,40,100,48,7.6,31,20
29213,Missouri,Taney,32,20,40887,55852,21.7,21.1,1.4,1.1,6.2,88.5,51.6,59,95,72,6.4,29,21
29215,Missouri,Texas,34,20,34824,25571,21.1,21.2,3.7,0.4,2.1,91.1,47.5,52,92,66,7.1,31,23
29217,Missouri,Vernon,33,16,42552,20528,19.4,23.6,1.0,0.7,2.1,93.8,51.1,52,92,55,6.9,28,21
29219,Missouri,Warren,31,13,62056,34711,17.6,23.8,2.2,0.5,3.4,91.8,50.1,53,90,70,8.4,36,20
29221,Missouri,Washington,35,16,38591,24943,16.7,22.8,2.4,0.3,1.5,94.0,48.5,46,97,60,7.1,31,22
29223,Missouri,Wayne,32,18,33703,13122,23.5,20.6,0.8,0.3,1.9,94.6,50.8,47,95,66,6.3,34,24
29225,Missouri,Webster,33,18,51141,39109,15.4,27.3,1.0,0.4,2.1,94.2,49.0,56,90,55,7.8,28,22
29227,Missouri,Worth,32,14,43119,2040,24.8,20.3,0.9,0.2,1.6,96.3,51.8,53,97,21,8.1,25,19
29229,Missouri,Wright,33,20,35293,18378,19.8,25.6,0.5,0.4,2.0,95.0,50.9,37,99,34,7.0,29,25
29510,Missouri,St. Louis City,37,15,43263,302838,13.7,19.0,45.6,3.5,4.1,44.3,51.6,73,80,98,6.0,34,25
