城市,日期,tmin,tmax,t,h,w,风级(级),p,能见度(km),总降水量(mm),PM2.5,PM10,SO2,NO2,O3-24h,O3-8h,CO,death,case
武汉,2020年3月20日,8.9,26.7,17.9,62,1.3,1,1010,14,0,33,71,9,26,138,103,0.87,6,6118
武汉,2020年3月21日,14.2,23.2,19.8,74,1.5,1,1006,9.6,2,32,88,14,24,145,108,0.96,4,5610
武汉,2020年3月22日,16.2,22.2,19,77,2.5,2,1012,4.2,0,45,65,16,30,86,42,1.36,9,5143
武汉,2020年3月23日,13.1,23.3,17.8,75,1,1,1014,6.5,0,57,86,8,16,123,104,1.08,7,4701
武汉,2020年3月24日,17.4,21.4,19.1,76,0.9,1,1012,8.1,0.1,44,74,11,24,156,110,1.11,2,4268
武汉,2020年3月25日,18,21.4,19.7,89,2,2,1006,8.1,4.2,37,57,14,24,96,64,1.07,5,3794
武汉,2020年3月26日,12.9,25.2,19.6,84,2.4,2,1007,14,8.3,30,42,10,22,73,50,1.1,4,3407
武汉,2020年3月27日,5.1,10.9,8.3,88,4.6,3,1020,13.4,26.7,24,36,9,20,92,63,1.02,3,2880
武汉,2020年3月28日,4.3,10.7,7.4,83,1.9,2,1023,19.4,5.7,8,16,5,15,63,54,0.58,5,2517
武汉,2020年3月29日,6.6,8,7.2,91,1.7,2,1018,14.9,16.6,11,15,7,17,90,68,0.7,4,2045
武汉,2020年3月30日,6.9,10.9,9.1,78,1,1,1017,15.8,0.1,10,13,6,16,71,60,0.57,1,1726
武汉,2020年3月31日,5.5,11.5,9.1,85,0.8,1,1016,6.2,0,15,19,6,17,76,53,0.62,5,1457
武汉,2020年4月1日,4.3,16.3,11.4,80,1.5,1,1019,10,0,25,31,6,23,61,42,0.6,6,1279
武汉,2020年4月2日,10.6,16.8,13.8,81,0.9,1,1019,5.8,0,26,34,7,26,101,68,0.76,4,1128
武汉,2020年4月3日,11.8,17.8,14.2,68,1.3,1,1021,7.1,0,39,44,7,22,117,87,0.76,4,984
武汉,2020年4月4日,8.7,19.9,14.5,73,0.8,1,1022,7.1,0,45,67,8,25,113,90,0.74,3,830
武汉,2020年4月5日,12.4,20.2,15.9,66,0.9,1,1021,6.6,0,45,67,8,30,141,95,0.8,1,644
武汉,2020年4月6日,12.3,21.9,16.4,64,0.6,1,1017,11.9,0,49,75,9,30,166,128,0.82,0,574
武汉,2020年4月7日,10.3,23.7,16.1,68,0.4,1,1015,10.9,0,29,64,12,33,139,106,0.84,1,515
武汉,2020年4月8日,9.5,24.7,16.5,68,0.4,1,1015,10.8,0,40,65,11,43,159,90,0.94,2,445
武汉,2020年4月9日,9.8,26.4,18.1,67,0.6,1,1014,11.4,0,35,62,10,54,156,97,0.82,1,398
武汉,2020年4月10日,10.5,17.3,13.2,82,3.9,3,1017,4.9,9,36,65,9,55,179,100,0.76,2,348
武汉,2020年4月11日,4.8,11.2,8.5,83,3.3,2,1023,9.6,0.4,47,69,7,23,84,48,0.73,0,319
武汉,2020年4月12日,5.3,21.3,13.5,69,0.9,1,1022,9.5,0,18,24,5,18,99,70,0.53,2,302
武汉,2020年4月13日,6.7,23.2,15.2,63,0.6,1,1019,12.3,0,32,43,8,28,135,116,0.57,0,243
武汉,2020年4月14日,12.1,22.7,17.1,59,1.5,1,1012,20.3,0,28,47,8,47,141,69,0.59,0,218
武汉,2020年4月15日,10.3,26.3,18.6,65,1.5,1,1008,19.9,0,26,53,13,44,137,86,0.66,0,179
武汉,2020年4月16日,18.1,29.1,24.1,58,1.1,1,1006,16,0,28,51,15,42,146,98,0.73,0,146
武汉,2020年4月17日,19.5,24.2,22.6,43,2.3,2,1011,17.1,0,43,72,17,38,158,101,0.86,0,129
武汉,2020年4月18日,13.3,19.1,15,87,1.1,1,1012,5.4,15.5,34,100,11,21,119,102,0.65,0,122
武汉,2020年4月19日,12.2,20.2,15.1,80,1.5,1,1014,9.4,3.2,35,55,6,22,100,73,0.8,0,109
武汉,2020年4月20日,11.5,15.4,14.2,94,0.3,1,1014,2.4,14.5,21,27,5,20,145,111,0.7,0,105
武汉,2020年4月21日,10.5,16.7,14.4,78,0.6,1,1017,8.9,0.1,40,49,7,44,99,69,0.97,0,102
武汉,2020年4月22日,12.6,22.1,17,68,0.5,1,1019,10.2,0,29,47,8,30,91,63,0.67,0,97
武汉,2020年4月23日,13.9,21.8,16.7,69,0.4,1,1020,7.8,0,34,62,11,40,142,97,0.77,0,69
武汉,2020年4月24日,9.4,23.6,17.5,64,1.1,1,1019,18,0,40,74,10,41,137,90,0.66,0,47
武汉,2020年4月25日,14.2,25.5,20,61,1.4,1,1014,19.8,0,24,52,9,36,128,66,0.47,0,23
武汉,2020年4月26日,11.9,27.1,20.3,69,1.1,1,1014,15.5,0,23,49,8,35,137,94,0.49,0,12
武汉,2020年4月27日,13.8,27,21.1,60,2.4,2,1016,17.4,0,29,58,9,47,140,80,0.54,0,0
武汉,2020年4月28日,11.9,25.8,18.6,60,0.8,1,1016,16.4,0,30,66,9,42,153,117,0.61,0,0
武汉,2020年4月29日,12.9,31.1,22.8,66,1.4,1,1010,11.3,0,30,64,12,45,177,105,0.78,0,0
武汉,2020年4月30日,21.1,29.3,24.1,69,0.8,1,1009,10,3.5,41,89,15,65,189,95,0.88,0,0
武汉,2020年5月1日,20.3,28.6,24.6,77,1.4,1,1005,6.5,0.8,46,80,10,42,143,72,0.86,0,0
武汉,2020年5月2日,19.5,32.1,26.4,71,1.9,2,1002,11,0,51,66,8,26,161,96,0.89,0,0
武汉,2020年5月3日,23.3,33.2,27.6,70,1.6,2,1002,12.5,0,41,70,7,33,146,101,0.81,0,0
武汉,2020年5月4日,21.7,35,29.3,68,1,1,1002,14,6.5,35,58,7,36,156,79,0.72,0,0
武汉,2020年5月5日,19.6,23.1,21.3,82,2.5,2,1005,9,6.5,40,79,8,48,144,88,0.87,0,0
武汉,2020年5月6日,18.9,24.7,22,81,1,1,1006,6.8,0,29,41,5,14,104,77,0.72,0,0
武汉,2020年5月7日,21.3,25.6,23.2,85,0.6,1,1002,5.6,1.2,29,51,8,27,88,71,1.1,0,0
武汉,2020年5月8日,19.6,22.4,21.2,87,1.6,2,1003,16.9,45.3,35,52,8,30,120,54,1.27,0,0
武汉,2020年5月9日,17.8,22.4,19.4,77,3.3,2,1008,16.9,0.4,16,28,5,20,86,78,0.97,0,0
武汉,2020年5月10日,16,25.6,20.2,74,1,1,1011,17,0,17,27,6,15,105,76,0.71,0,0
武汉,2020年5月11日,14.7,27.5,20.6,69,1.3,1,1012,14.7,0,15,31,6,27,136,76,0.58,0,0
武汉,2020年5月12日,13.1,28.4,21,62,0.9,1,1011,19.3,0,26,81,9,47,162,90,0.61,0,0
武汉,2020年5月13日,16.8,27.7,23.4,63,0.9,1,1009,14.8,0,30,82,9,50,157,84,0.52,0,0
武汉,2020年5月14日,16.2,22,19.5,93,0.9,1,1004,4.2,47.5,47,104,14,55,177,121,0.9,0,0
武汉,2020年5月15日,15.4,24.7,19.9,89,0.4,1,1004,2.6,0,55,66,8,38,101,49,1,0,0
武汉,2020年5月16日,17.1,28,23.1,84,0.6,1,1004,9.5,0,53,74,7,46,127,72,1.12,0,0
